"행정구역","2020년02월_총인구수","2020년02월_세대수","2020년02월_세대당 인구","2020년02월_남자 인구수","2020년02월_여자 인구수","2020년02월_남여 비율"
"서울특별시  (1100000000)","9,736,962","4,345,877","      2.24","4,745,133","4,991,829","      0.95"
"부산광역시  (2600000000)","3,410,925","1,502,333","      2.27","1,673,266","1,737,659","      0.96"
"대구광역시  (2700000000)","2,432,883","1,033,349","      2.35","1,202,364","1,230,519","      0.98"
"인천광역시  (2800000000)","2,954,955","1,242,107","      2.38","1,481,133","1,473,822","      1.00"
"광주광역시  (2900000000)","1,456,121","618,503","      2.35","720,686","735,435","      0.98"
"대전광역시  (3000000000)","1,473,125","637,726","      2.31","735,791","737,334","      1.00"
"울산광역시  (3100000000)","1,145,710","469,551","      2.44","588,626","557,084","      1.06"
"세종특별자치시  (3600000000)","343,788","136,629","      2.52","171,403","172,385","      0.99"
"경기도  (4100000000)","13,265,377","5,497,087","      2.41","6,672,706","6,592,671","      1.01"
"강원도  (4200000000)","1,539,521","721,003","      2.14","774,358","765,163","      1.01"
"충청북도  (4300000000)","1,598,599","723,931","      2.21","809,805","788,794","      1.03"
"충청남도  (4400000000)","2,120,995","961,890","      2.21","1,081,153","1,039,842","      1.04"
"전라북도  (4500000000)","1,815,112","818,452","      2.22","902,365","912,747","      0.99"
"전라남도  (4600000000)","1,861,894","873,871","      2.13","934,900","926,994","      1.01"
"경상북도  (4700000000)","2,658,956","1,229,265","      2.16","1,338,907","1,320,049","      1.01"
"경상남도  (4800000000)","3,358,828","1,455,655","      2.31","1,690,600","1,668,228","      1.01"
"제주특별자치도  (5000000000)","670,876","293,932","      2.28","337,295","333,581","      1.01"